Student,LPIPS,SSIM
113590059.png,0.3546145558357239,0.4630730654653093
113590023.png,0.3929343819618225,0.44320265680396614
113590011.png,0.40600499510765076,0.5210357973885513
113590029.png,0.4064343273639679,0.41267713910634385
112590058.jpg,0.41320738196372986,0.40870198873937724
113590006.png,0.41427481174468994,0.44775690739587715
113590050.png,0.4257323741912842,0.3955384315310529
111590455.png,0.42612624168395996,0.4532244307174556
113590028.png,0.42988333106040955,0.4796859939440103
113590013.png,0.4309781789779663,0.3222475055841243
113590018.png,0.43500250577926636,0.42852703609718845
113590049.png,0.4354057312011719,0.4327334968828521
113590002.png,0.4407598376274109,0.4799520867045029
113590031.png,0.4441695213317871,0.4839640487443173
113590045.png,0.44560086727142334,0.45531296725070586
113590052.png,0.44853416085243225,0.438055923093712
113AC1012.png,0.4489288628101349,0.5064817747179975
113AB0018.png,0.4494573473930359,0.4368041837286392
112590454.png,0.4520411491394043,0.5000517922619734
113590062.png,0.4564715027809143,0.4092606599082315
113590056.png,0.4586912989616394,0.4819760228181572
112590452.png,0.459133505821228,0.4505372725318946
113590008.png,0.4630841612815857,0.3336665255546379
113590051.png,0.4637463390827179,0.47547352307629803
113590015.png,0.46389535069465637,0.4369146071180254
111590047.png,0.4663163125514984,0.49389204884356114
113590026.png,0.4688783586025238,0.5103912383027902
113590003.png,0.4702145457267761,0.4843653968357728
113590451.png,0.47259339690208435,0.4677490353029648
113590042.png,0.47281232476234436,0.4619656230603263
113370239.png,0.47475507855415344,0.47395961814520304
113590021.png,0.475720077753067,0.4448778337872683
113590039.png,0.4762382209300995,0.46629114652908166
113590022.png,0.47716236114501953,0.4405162809276661
113590044.png,0.4775053858757019,0.41918619121610673
113590055.png,0.47833266854286194,0.4713819090445759
113590001.png,0.4799748957157135,0.4515296980989158
113590057.png,0.4831118583679199,0.44189219459334805
113590061.png,0.48478198051452637,0.47853569952805347
113590450.png,0.4860638380050659,0.483275727496533
113590010.png,0.487765371799469,0.45337481849805455
113590036.png,0.48993632197380066,0.4131091986341138
110590455.png,0.49003100395202637,0.4656083268150088
114054809.png,0.4902937710285187,0.45245840887322203
112590455.png,0.4950440526008606,0.4508471411155813
113590033.png,0.49739086627960205,0.4663097817474493
111590062.png,0.49825266003608704,0.46054861658898016
111590028.png,0.4987061619758606,0.4750969649850721
112590040.png,0.4987953007221222,0.415892367259597
113590032.png,0.4996975362300873,0.47985021486604595
113590060.png,0.5102265477180481,0.4699303088357499
113590040.png,0.5177261829376221,0.45063628066369465
113590005.png,0.5221234560012817,0.5001401489402827
113590047.png,0.5283156633377075,0.5053055561844525
113590043.png,0.5422922372817993,0.5196243988394802
113590004.png,0.5438671112060547,0.49608095686154613
113590025.png,0.5459156036376953,0.51947345400672
111590042.png,0.5616965889930725,0.5402402809770247
